Course No.,CRN,Course Title,CR.,Faculty,Days,From-To,Exam/Paper
LAWJ-700-09,(CRN #: 23891),"Takeovers, Mergers, and Acquisitions",2,"Duchovny, Daniel F. / Gilligan, Joseph E.",T,7:55-9:55,5/3C
LAWJ-1276-05,(CRN #: 27586),Tax Law and Public Finance Workshop,3,"Faulhaber, Lilian / 
Grinberg, Itai",T,3:30-5:30,WR
LAWJ-1276-08,(CRN #: 27587),Tax Law and Public Finance Workshop,2,"Faulhaber, Lilian / 
Grinberg, Itai",T,3:30-5:30,Paper
LAWJ-846-11,(CRN #: 29585),Tax Treaties,2,"De Vos, Lloyd",F,1:20-4:20,S
LAWJ-980-09,(CRN #: 27635),Taxation of Debt Instruments & Securitization Transactions I,2,"Mayo, Daniel / Keinan, Yoram",T,3:30-5:30,TK
LAWJ-945-08,(CRN #: 10689),Taxation of Energy Markets,2,"Comstock, Stephen / Gimigliano, John P.",R,3:30-5:30,5/10C
LAWJ-362-05,(CRN #: 17597),Taxation of Partnerships,2,"Dance, Glenn E. / 
Mincey, Glenn / 
Rooney, John J.",T,11:10-1:10,TK
LAWJ-1457-05,(CRN #: 33443),Technology Law and Policy Colloquium: Information Platforms,3,"Cohen, Julie E.",M,1:20-3:20,WR
LAWJ-1457-09,(CRN #: 33444),Technology Law and Policy Colloquium: Information Platforms,2,"Cohen, Julie E.",M,1:20-3:20,Paper
LAWJ-1040-08,(CRN #: 22033),"Technology, Innovation and Access to the Civil Justice System (PROJECT-BASED PRACTICUM)",4,"Rostain, Tanina / 
O'Brien, Mark / 
Mulcahy, Kevin",W,1:20-3:20,SR
LAWJ-2080-09,(CRN #: 27646),The Affordable Care Act: Law and Policy Governing Private Health Insurance,3,"Keith, Katie / Mishory, Jennifer M.",R,5:45-8:45,TK
LAWJ-361-01,(CRN #: 33425),"The American Legal Profession in the 21st Century: Alternative Service Delivery Models, Emerging Practice Technologies, and New Regulatory Challenges",2,"Rostain, Tanina",T,9:00-11:00,5/1A
LAWJ-1034-05,(CRN #: 23930),The Federal Role in Education Law Seminar,3,"Pasachoff, Eloise",T,3:30-5:30,WR
LAWJ-1285-08,(CRN #: 33481),The Internet and International Trade Law,2,"Ahmed, Usman / 
Bieron, Brian F. / 
Horlick, Gary N.",R,3:30-5:30,TK
LAWJ-1460-05,(CRN #: 33454),"The Judicial Opinion Seminar: Subtext, Text, and Context",2,"Bonneau, Sonya",M,1:20-3:20,Paper
LAWJ-496-08,(CRN #: 29499),The Mind and the Law,3,"Bloche, Gregg",TR,1:55-3:20,TK
LAWJ-067-05,(CRN #: 31395),Topics in Electronic Discovery,1,"Grossman, Maura R.",MTWR,9:00-12:20,TK
LAWJ-1454-05,(CRN #: 33426),Topics in LGBT Civil Rights Seminar,3,"Smith, Paul M. / 
Wolfson, Evan",T,3:30-5:30,WR
LAWJ-1454-08,(CRN #: 33427),Topics in LGBT Civil Rights Seminar,2,"Smith, Paul M. / 
Wolfson, Evan",T,3:30-5:30,Paper
LAWJ-785-08,(CRN #: 10624),Trade and Integration in the Americas,2,"Parga, Cesar / Umana, Mario / Fernandez, Ernesto",W,5:45-7:45,TK
LAWJ-1466-08,(CRN #: 33485),Trademarks and Brands Seminar,2,"Sunder, Madhavi",F,10:00-2:00,SU
LAWJ-351-01,(CRN #: 25704),Trial Practice,2,"Bennett, Edward J.  /  DeVille, Duncan  /  Johnston, Julianne C.",T,5:45-7:45,SR
LAWJ-351-02,(CRN #: 10449),Trial Practice,2,"Casper, Ari S.  /  Mitchell, Denis",T,9:00-11:00,SR
